well,rows,rmse,mean_abs_error,bias,alpha
09053135,5907,11.376357324653497,10.017627923966572,-10.017627923966572,1.0
9298ad5b,3964,11.360133296766644,8.974415900741207,-2.5799143067807537,0.75
5693dde2,3488,11.335837753508619,10.390138103744858,10.390138103744858,1.0
ed6e6e54,6048,11.318581033032002,7.764826929210541,-3.694329269791898,1.0
5f6756c5,5931,11.31635342173132,10.372628676514891,-10.255320563317005,1.0
19fb4f7b,5620,11.312392534680582,8.841034632654782,1.053544333574386,1.0
32fe84c9,6408,11.297230619038949,7.519485558259312,-3.1876636014325044,0.75
4a8ecc0b,5809,11.211904800768597,9.65338612497878,-3.790218626270524,0.0
43c7f85a,5978,11.180370167514397,8.900003345601032,8.790990297759004,0.0
f8afa78a,6032,11.173329171124951,9.648024726558836,-9.582165201970136,1.0
eabc711b,5348,11.132783923599833,8.854720729150419,3.767624417224403,1.0
5a63b5d1,6217,11.081908560772675,8.630125196277305,2.6460738005816977,0.5
d00e7eb9,5704,11.031817765429013,9.930151459424026,9.69389926521464,1.0
cda7eb37,5973,10.988000214497022,8.096539345104457,-3.2752096860534308,1.0
c6b782a4,4877,10.939543934628674,9.810720930681887,7.697317149031083,1.0
4cecf7b3,6019,10.93364532404231,8.969738127237488,7.185227714621272,1.0
5aef5c6c,3121,10.926258823623487,8.276719000320538,5.337289330343088,0.0
81bf5923,4543,10.912073213110327,8.822331244278146,-7.287179390317272,0.5
9bd2bba3,7439,10.905449844801124,9.974648988528356,-9.78279486671525,1.0
4630ab92,3373,10.880550178687447,8.369955529202837,8.231473465757936,0.0
eb640a35,6037,10.873546269199386,9.805973442689032,-0.4829115751728748,1.0
75c20ec7,5361,10.872422850618953,9.148746536529549,-8.042842748905123,1.0
62569ae3,3588,10.854081581011833,8.05463030727825,5.9825165614994305,1.0
cbb406b5,6328,10.84949298588916,8.675308898888096,-8.303082847797816,1.0
dd6bc5b2,3602,10.844819663902445,9.111559894581282,-8.17436103334211,1.0
593876b6,4842,10.796959017209073,10.007148057437412,-6.912857152397809,1.0
9ffce529,5212,10.783014790158417,9.299055848344302,6.525702065409591,1.0
25939962,4319,10.780539919658391,9.633636019365122,-2.9696272947525393,1.0
