well,rmse,mean_abs_error,bias,rows
071d7b45,15.272617115632846,14.864264498500411,-14.864264498500411,3211
7256229b,15.261130786169415,14.01113372046041,-14.01113372046041,5415
5663b2b7,15.240920673699058,14.018602067305887,-3.142374193025085,4972
14ab73fb,15.210403942219004,13.34099341408874,13.339691123327547,3649
f07d7037,15.187612856319387,14.426863761437373,-14.426863761437373,5563
46a301e9,15.181964999363514,14.127918863079662,14.126799040515914,8226
fc03f21f,15.123091466489113,13.07328061680844,13.07328061680844,4803
739a914f,15.06532359227918,12.481421552458043,8.881913277994698,5505
368fe682,15.039921050459823,13.31039657507607,-12.783575335928171,4936
73b1447d,15.038815164781814,11.990576953563243,-6.820296377794714,5670
01982c1d,15.017585136293542,13.78098084924746,13.780980849247458,3941
633774dc,15.012904791912515,12.987641185230204,-11.278624028309062,6233
4fbe9c06,15.006063778711331,12.010219212608654,11.884877511183037,6287
fa31da94,15.000021831047084,11.822290898812476,11.295753185721201,5027
d2f3b1ab,14.981985159852472,12.912007380424155,-7.796135044007852,5581
09441b8d,14.958263896889607,11.13890991339608,11.120458859226897,5488
b04b58a3,14.93722066013385,12.265421819270761,-4.950175396754223,3402
f72b268f,14.926913998010223,13.165985379787971,-12.716231027825994,6404
add9c322,14.861107043419478,14.030337655498961,14.030337655498961,3932
529e88ca,14.834464417109128,13.10254544713833,-8.578200282961244,3417
3aaa2b30,14.824311872531572,13.394330827228544,-13.066241066600742,4711
70925e23,14.814878572022344,13.276414442758888,13.224444976770807,5947
a85e4bc3,14.806269259892131,12.665459063163398,12.6654590631634,4581
96b7eea1,14.769089498890214,14.151736679774473,-14.151736679774473,4332
c3957531,14.725924368259514,11.363891985626498,-8.165779982401649,5316
84815d5a,14.687226426667438,12.685093791326391,-12.668776320639942,3647
992c99e8,14.683586768543101,11.576375860179963,9.958830908378909,4904
d0a43760,14.664394404134937,12.170402674018998,12.06624422601856,4041
dc7f9757,14.648648753474133,13.03951704424665,13.03951704424665,4360
a692b17e,14.634733109070313,11.559143145306004,-11.444914353614534,3566
e32da4ec,14.617120175379673,11.820027791247359,-11.7423742719118,4689
5567d551,14.527386016284844,12.781970518191345,12.775912216673769,6889
8b12bab6,14.511784383522834,11.202241665866158,-10.11798633850356,5234
4463446c,14.41529175711857,10.716927075272308,-10.542178577277568,3256
b4d8dd4f,14.36124797714057,12.882188724435217,2.8583116357287603,4259
4b462989,14.253016758399395,12.88272330088949,12.88272330088949,3106
14a53cb3,14.201744812805659,13.000357605906538,-12.613899817792936,6919
e2fc7745,14.18272343803347,10.762857167521831,-10.699336260467978,3692
b3388334,14.178930648103748,11.797367767445456,8.198438545443986,6080
5305524b,14.10787032629282,11.410178464512828,8.183363614868775,4898
bffe3082,14.084585456533791,11.064069598747205,-6.932703641741726,5723
eafb863e,14.076237730843793,12.346678642051495,-12.346678642051495,3568
1a730ac2,14.074156349526755,12.562199385006199,-12.562199385006197,4605
3e011332,14.048570341467938,10.664694064028788,-6.337534350227098,2723
4c3df468,14.025970831093378,11.653482815667036,-10.76362711901149,5392
