well,rows,rmse_before,rmse_after,mae_before,mae_after
27300fd5,5467.0,17.904891790033403,17.904931881990052,16.89693947930876,16.897000919286242
b4d8dd4f,4259.0,17.644297039262927,17.644300641529593,13.866998313861307,13.867015868610391
75d20a82,5067.0,17.567683119149574,17.56793043426312,15.165251113778325,15.165386626099338
df71d1ff,6228.0,17.497653216527695,17.49766148206994,14.133591237841813,14.133592051569105
e201fd6d,5070.0,17.444213810356302,17.44414328021364,13.737870112470302,13.73784745453887
d2f3b1ab,5581.0,17.230732568184305,17.23074661771898,15.469398801174906,15.469409657226926
96ae5806,9839.0,17.230502671838234,17.230499582657014,14.933667980101443,14.933647809301693
8612b37f,5165.0,17.23053706505419,17.23018076988772,12.760077011472841,12.759759207788166
3e011332,2723.0,17.213601579089318,17.213596739051987,12.621969126696195,12.62199763867041
bcebcc5f,6258.0,18.5434892786222,17.198746392207703,16.855694128908027,15.173001756990537
8ac2f237,5319.0,17.089071893363478,17.089002175351737,12.506075606520215,12.505925049775566
a0383629,5832.0,14.256119265609284,17.01749830228637,13.225766699562495,15.274624155035179
15e154a1,6068.0,16.77636493681392,16.948732744918097,14.894921925201581,14.809759653283816
2364716c,4316.0,16.898625208982967,16.899217426724896,15.553627915673369,15.554254598951772
7d50373e,5122.0,16.89379806977744,16.893249691985815,16.262263943790074,16.261714199964388
b881d27e,4009.0,16.892125499393284,16.891966611594583,16.227706257656575,16.227510952803954
cad13e8f,4848.0,16.859948609966306,16.859950427103797,16.066634849295724,16.06663549625095
9af1ffd0,3525.0,16.777566735763592,16.777404254499928,11.359239499857658,11.358973166692147
46a301e9,8226.0,16.76797666713017,16.76797663684907,15.728239129446157,15.728251873292148
0849b4e2,5537.0,16.66460567646487,16.664430620128897,11.066023122257045,11.065910308675997
9dede370,6297.0,16.644281007977213,16.64421498541189,13.992492878772351,13.992418258639775
4c3df468,5392.0,16.591326415462888,16.59121582628324,14.119880580151959,14.119873791291882
173ed841,4883.0,16.58169646699378,16.581575608908604,14.135229149512499,14.135202126705385
0dc5e64d,4879.0,16.531448395679895,16.53139355793343,12.464476781930593,12.464328285876734
d41beaf2,4753.0,16.51497719814086,16.514768605906063,14.506305486543566,14.506189485344162
529e88ca,3417.0,16.514143556018464,16.51405593973992,13.849377006478123,13.849174019543437
58850d2c,4995.0,16.49126514342902,16.490911416506272,15.764327958082324,15.764026387524444
d5df0ff5,4032.0,16.476753731088504,16.476215998979356,15.596749107139567,15.59615337322447
1a68190b,4474.0,16.37141139706156,16.371440540767374,13.556011312180265,13.556046088803438
a612d5a0,5329.0,16.325835542737796,16.325827957867748,15.343507434502055,15.343501660484144
5663b2b7,4972.0,16.31878960883938,16.318643232970796,13.612685800551283,13.6125899237651
b0d42b0d,4971.0,16.22411676438825,16.22411044093627,14.709037841422708,14.709033351815535
5b7b6324,6564.0,16.021381050218938,16.021423113881166,12.557599846303685,12.557688834738435
6a0ff78e,6465.0,16.015640230031284,16.015662667001976,13.603690343339748,13.603714254098325
4463446c,3256.0,15.953064263532486,15.953110070145765,12.779587848523587,12.779633352241547
2e63d9de,4699.0,15.915529726758264,15.91554912443729,13.551937154775374,13.551954582355595
