well,rows,known_rows,target_rows,target_md_span,target_tvt_span,target_gr_missing_rate,rmse,mae,bias,p95_abs_error,max_abs_error
084d66f9,5632,1747,3885,3884.0,44.63000000000102,0.6463320463320463,10.693040191903986,8.28724066923996,-5.267410553409179,20.04599999999918,23.600000000002183
7e721392,8301,2127,6174,6173.0,53.01999999999862,0.5672173631357305,10.614135680014654,9.318880790230525,6.856389698062642,18.22999999952117,20.64999999956126
3bbe1f5d,8184,1266,6918,6917.0,21.6200000000008,0.45952587453021104,10.572803005133604,9.583141081236942,-9.172505059265179,14.869999999998981,16.149999999999636
20096916,6880,1747,5133,5132.0,21.969999999999345,0.5176310150009741,10.457150039432173,9.041811805961006,-9.00465225014566,19.099999999998545,20.979999999999563
699ea575,5474,1354,4120,4119.0,24.80000000000109,0.4507281553398058,10.392889600471305,7.755516990291721,-6.656123786408639,19.070500000001445,19.720000000001164
3e678ea7,8737,1879,6858,6857.0,27.469999999999345,0.39282589676290464,10.229911981746914,8.43122484689507,-8.1270195392253,18.3700000000008,22.920000000000073
177622d7,4699,1545,3154,3153.0,19.520000000000437,0.5630944831959417,10.172841347696947,8.682390615430876,-8.542542803135182,18.597500000654506,24.36000000068816
90386ee4,5304,1464,3840,3839.0,22.359999999998763,0.5026041666666666,10.152954610245539,8.290309895833206,-8.290309895833206,21.56999999999971,22.36999999999898
bd6f0e19,6979,1839,5140,5139.0,16.23999999999978,0.2519455252918288,10.118149844909517,9.28358171206204,-9.28066342412429,15.399999999999636,16.029999999998836
f053a1b9,5952,1844,4108,4107.0,21.470000000001164,0.23369036027263876,10.028295659116962,8.944654333007962,8.840516066211386,17.649999999999636,19.399999999999636
272abef3,5682,1547,4135,4134.0,20.649999999999636,0.046674727932285366,10.023016592838678,7.455864570737903,7.339438935913301,17.2730000000005,19.360000000000582
fb3848a1,7859,1940,5919,5918.0,22.3700000000008,0.6058455820239905,9.958923975567506,8.691991890521708,-7.988214225375471,15.549999999999272,17.13000000000102
198a5607,8094,1843,6251,6250.0,23.899999999999636,0.26907694768836987,9.944851115115334,7.484626459766532,6.849771236602367,17.88000000000102,18.56999999999971
e737965a,7694,1739,5955,5954.0,30.399999999999636,0.6228379513014274,9.897022674368223,8.568905121746369,1.1671989924423671,15.142999999998212,16.6299999999992
368131f9,6568,1577,4991,4990.0,43.05999999999949,0.6359447004608295,9.875992090231112,8.182075736838035,7.976137047228921,15.660000000803848,25.440000001090084
ef04658e,5664,1560,4104,4103.0,29.23999999999978,0.1695906432748538,9.783301531144605,7.7915692011796525,7.2214571154578335,17.531000000851957,22.700000000890213
5d11dfb5,7643,1748,5895,5894.0,46.04999999999927,0.495843935538592,9.758377072411292,7.165377438507153,0.19117896522541966,22.302000000000596,24.770000000000437
a85e4bc3,5993,1412,4581,4580.0,31.1200000000008,0.4977079240340537,9.638478456190704,7.391453831041483,4.986930801135577,19.43000000000029,20.409999999999854
8a89da23,5575,1640,3935,3934.0,37.289999999999054,0.149428208386277,9.48665482381776,7.802935197042848,-3.3547725535727353,17.425999999823393,18.769999999802167
8a3da6d1,6334,1741,4593,4592.0,25.829999999999927,0.46026562159808404,9.412246097229765,7.848571739603689,-7.010400609623263,17.090000000000146,17.73999999999978
3a223519,6581,1998,4583,4582.0,18.5,0.0914248308967925,9.401162306681243,7.24448178049331,7.231533929740548,17.68000000000029,18.19000000000051
1aaf1da0,6321,1517,4804,4803.0,18.26000000000022,0.2670691090757702,9.288199403984146,7.7373646960855575,-7.390799333886973,14.839999999998327,15.789999999999054
97cd5bf9,5099,1650,3449,3448.0,25.80999999999949,0.6332270223253117,9.273936692075774,7.770710350826331,-2.3083212525371266,16.80999999999949,17.209999999999127
b0f53bf4,4202,1447,2755,2754.0,18.679999999998472,0.2754990925589837,9.231328022549082,6.971978221416221,6.9719709618880925,17.78300000000072,18.670000000000073
2364716c,6093,1777,4316,4315.0,33.47999999999956,0.293790546802595,9.117337740888871,7.98610982417069,4.349816960618774,14.290000000812597,24.140000000941654
6e6d122c,7083,1451,5632,5631.0,29.780000000000655,0.2872869318181818,9.11700946941914,6.407167968749824,-4.142622514203968,20.78449999999975,22.25
87aa3730,7293,1686,5607,5606.0,24.18999999999869,0.23256643481362582,9.116484132166912,7.271057606563308,6.057731407169762,18.59400000000023,20.229999999999563
c70c0e01,6057,1745,4312,4311.0,26.920000000000073,0.7003710575139147,8.964901066736223,6.732135899814753,5.453281539889101,19.194500000000605,20.88000000000102
12203f2a,4991,1730,3261,3260.0,20.920000000000073,0.291015026065624,8.941811107673743,5.538751915150129,-4.1664673386958855,25.95999999504056,30.019999994781756
3ac16ad0,7412,1763,5649,5648.0,29.81999999999971,0.2526110816073641,8.880546118495223,6.163970614267992,-3.1828659939815207,21.735999999999688,23.600000000000364
fa667be2,8798,1502,7296,7295.0,23.469999999999345,0.12541118421052633,8.802015991385062,7.083858278507971,7.083858278507971,19.96249999999918,23.469999999999345
a6ed2eff,7054,1779,5275,5274.0,34.279999999998836,0.5624644549763033,8.632582794631363,6.912225592417379,-4.152604739337022,18.1060000000005,21.200000000000728
ee0300f7,6161,1617,4544,4543.0,36.55999999999767,0.3686179577464789,8.627626581464787,7.3174669896817495,-1.8564722706315073,16.786999999755597,17.849999999769352
fcfcc902,4665,1874,2791,2790.0,17.640000000001237,0.04693658187029739,8.524867327877525,6.812268004555799,-5.659591544554374,14.65000000053351,15.250000000534783
c2717d4f,6682,1961,4721,4720.0,21.459999999999127,0.03240838805337852,8.452559650622254,7.519205676763687,-5.360891760220937,14.170000000000073,15.220000000001164
4f4afcc6,7184,1539,5645,5644.0,32.38000000000102,0.07263064658990256,8.324204115356522,6.541695305580084,0.2522497785646035,19.30999999999949,20.44000000000051
cdc60a53,7631,1753,5878,5877.0,30.69000000000051,0.5529091527730521,8.315926094659538,6.658050357264312,0.7256243620269515,17.271499999998646,19.649999999999636
3c3dbcbc,6911,1842,5069,5068.0,29.0,0.5642138488853817,8.29349171896155,7.123116985598751,0.4242690866047262,15.982000000000687,17.899999999999636
1fee2b62,6323,1682,4641,4640.0,25.770000000000437,0.5850032320620556,8.271183690259376,7.3636069812541685,-2.4861495367384987,13.260000000000218,14.220000000001164
4f4ac5ce,6899,1737,5162,5161.0,25.3799999999992,0.5984114684230918,8.250612102027123,7.186414180550179,-2.6744769469196576,12.959499999999114,14.149999999999636
0955cd6c,7125,1930,5195,5194.0,20.079999999999927,0.6454282964388836,8.023088122545198,6.652188642925418,5.667599615013482,14.239999999999782,14.649999999999636
76201745,5858,1410,4448,4447.0,29.30999999999767,0.49303057553956836,7.881811891978768,6.300676708633065,1.2500786870496188,15.692999999999385,17.81999999999789
3bfee975,5088,1485,3603,3602.0,25.399999999999636,0.6072717180127671,7.840543276658913,6.473796835970038,0.4341520954760594,13.670000000000073,14.319999999999709
