well,rows,baseline_rmse,geometry_rmse,rmse_improvement,baseline_mae,geometry_mae,baseline_bias,geometry_bias,residual_pred_mean,residual_pred_std,max_residual_correction_jump,target_rows,improved,rmse
aaeffccb,2712,4.756126793123975,7.500138927001979,-2.7440121338780044,4.303926991150472,6.599216391385632,1.8971792035399,6.204719632977887,4.307540429437959,0.7035239245926971,0.2291103453214269,2712,False,7.500138927001979
5a5269a9,6513,5.863105043604518,8.555368146949064,-2.692263103344546,5.076396437893407,6.727678710158,-0.6862413634263369,4.088086971735243,4.774328335161578,2.6158427716661694,0.2664996454304607,6513,False,8.555368146949064
f4d12d23,3701,12.02642985051693,14.699810059433297,-2.6733802089163667,9.521267225213858,13.442186374091618,-3.800089165494828,13.277631913379858,17.077721078874685,10.344920119992263,0.1202812310695833,3701,False,14.699810059433297
7ff89f8f,7337,14.155555516103233,16.765190633554568,-2.609635117451335,11.48404525010244,13.335948624418508,-8.27030939075982,-11.653039484016285,-3.3827300932564306,1.6692411392279634,0.7175830311352258,7337,False,16.765190633554568
d114d9c2,6206,7.69852853923108,10.280747342280556,-2.582218803049476,6.224972607154548,9.040752687618516,5.069523042217522,8.791690577211487,3.722167534993943,0.6629572409444882,0.5436848053322345,6206,False,10.280747342280556
fcfcc902,2791,8.524867327877525,11.0430327185125,-2.518165390634975,6.812268004555802,10.581020715551729,-5.659591544554374,10.581020715551729,16.240612260106083,8.364126459930219,0.2924834874407054,2791,False,11.0430327185125
3a7dd95d,3072,13.010388611275376,15.497435486304202,-2.4870468750288257,10.554567057291573,13.068814493474212,9.463955078124876,12.942563972491174,3.4786088943663014,0.8073924073459151,0.2828894201101537,3072,False,15.497435486304202
e201fd6d,5070,16.371250707380042,18.839837723116062,-2.46858701573602,13.068065088757724,14.529789216122786,9.358234714005336,13.223033170718551,3.864798456713229,0.5965699278512118,0.4150660491809201,5070,False,18.839837723116062
fc0d20b2,3954,11.932087953866953,14.392200582870135,-2.4601126290031843,7.689668689935407,10.966013159268725,7.639097116845072,10.966013159268725,3.326916042423672,0.5038348283945564,0.4457798574069747,3954,False,14.392200582870135
113011eb,3272,5.177910618587731,7.372980317203259,-2.1950696986155283,4.086815403422976,6.467897956204541,-1.0127995110026504,4.4483758545389,5.461175365541572,1.2649033904164926,0.3057886583914566,3272,False,7.372980317203259
87aa3730,5607,9.116484132166912,11.307377739080756,-2.1908936069138445,7.271057606563308,9.150852224039422,6.057731407169762,9.145194196237622,3.0874627890678417,2.3966701895007487,0.1067387003213391,5607,False,11.307377739080756
2ddad940,5331,7.645816438023014,9.7363522279774,-2.0905357899543864,6.393792909398017,8.226186013479248,2.928765709998784,5.513685434148843,2.5849197241500543,1.5030504893437044,0.5576365950462443,5331,False,9.7363522279774
1b08ed48,5618,11.8384908795304,13.862163533171302,-2.0236726536409027,10.44722855108537,12.877801586807148,10.200831256674466,12.877801586807148,2.6769703301326646,1.0634999714611608,0.1299372655392572,5618,False,13.862163533171302
76201745,4448,7.881811891978768,9.892935299360662,-2.011123407381894,6.300676708633065,7.210557534291982,1.2500786870496188,4.674546162551742,3.4244674755021247,2.0166617301643357,0.1115593946432556,4448,False,9.892935299360662
a76db406,4672,3.704320170837743,5.624071234386809,-1.9197510635490669,2.4896104452042005,5.363461942771747,-2.485008561642469,5.091013177576962,7.576021739219428,1.36973001092326,0.6414828197198759,4672,False,5.624071234386809
4e050c92,3705,6.760683545123174,8.661853498777896,-1.9011699536547215,4.699427800269788,6.093134647060169,4.123616734142836,5.597337780802148,1.4737210466593262,1.5587216411088105,0.1236508285755406,3705,False,8.661853498777896
7e208414,4226,6.381931414565357,8.151773159516612,-1.769841744951255,5.610754850922744,7.098810979338235,5.409320870799672,6.871793736369794,1.462472865570105,1.0649222226453037,0.2618643875945956,4226,False,8.151773159516612
3ef98781,3892,14.209755774984783,15.94535214725321,-1.735596372268427,11.329468140134544,15.289533878816904,-7.857911100116131,15.289533878816904,23.14744497893303,11.750468464917098,0.87387813192184,3892,False,15.94535214725321
5fffa282,4201,5.318148657346763,7.01790228760447,-1.6997536302577076,4.6528326588914055,6.395462535813669,4.6528326588914055,6.37415253155883,1.721319872667435,1.5956825801227088,0.1044846383256032,4201,False,7.01790228760447
f321a31c,5141,12.557281531880928,14.253361607127337,-1.6960800752464085,10.301707838941793,11.384815153310951,6.308325228554559,8.76602131771876,2.4576960891642075,1.892086851401336,0.2989733899736306,5141,False,14.253361607127337
c70c0e01,4312,8.964901066736223,10.66022733687917,-1.6953262701429477,6.732135899814753,7.646014569900581,5.453281539889101,7.040482319052251,1.5872007791631313,1.7165474002079937,0.4656276139213808,4312,False,10.66022733687917
e149204f,6097,4.546152895643239,6.234237948052416,-1.6880850524091766,3.7537510250942185,4.923604299909378,-0.3517598819086133,3.6742546500352646,4.026014531943888,1.4660455803670378,0.4693858761600191,6097,False,6.234237948052416
af7a59ce,3024,4.115059728297358,5.731007721460079,-1.6159479931627212,3.630777116401536,5.115236864696083,3.4569146825388684,4.855186813831394,1.3982721312925106,1.4872896250783558,0.1063758712862967,3024,False,5.731007721460079
0955cd6c,5195,8.023088122545198,9.629778304410689,-1.6066901818654902,6.652188642925418,8.028437657316168,5.667599615013482,7.216299122264279,1.5486995072507748,1.1355289850386183,0.5434653184797016,5195,False,9.629778304410689
95c8427f,6335,27.215687207592826,28.749921049317507,-1.5342338417246817,25.65635674822416,27.3249698348674,25.65635674822416,27.3249698348674,1.6686130866432238,1.1094986819647648,0.1097507740311777,6335,False,28.749921049317507
26623a50,5735,19.63642498152916,21.16420570523708,-1.5277807237079166,15.880127288943154,19.595154742949735,-8.538366173249887,19.595154742949735,28.13352091619964,14.366479637091714,0.1157576190552021,5735,False,21.16420570523708
