well,rows,rmse,mae,bias,baseline_rmse,geometry_rmse,rmse_improvement_vs_baseline,rmse_improvement_vs_geometry,learned_alpha,oracle_alpha
5138a660,3559,27.5432487679489,23.162391892000734,23.162106218107855,86.81922787349346,10.43710213002705,59.275979105544565,-17.10614663792185,0.7737239535629096,1.0
e7c36e81,3531,27.53922657679564,24.092106580464446,23.11973530048199,87.14572512274597,7.98151400698473,59.60649854595033,-19.55771256981091,0.7428902744643033,1.0
d011f41b,2267,27.494481976795935,23.58397387548748,23.51028272371917,48.76219382347272,13.06272170391081,21.267711846676786,-14.431760272885125,0.5873678881633257,1.0
16e4a047,4131,27.399807620477986,25.605388774620057,25.605388774620057,105.22184169158284,13.96829530130676,77.82203407110485,-13.431512319171226,0.8485001532827513,1.0
febb4411,4247,27.378971333162667,23.82865330746609,23.529823677035154,61.058978594084564,14.099078969197432,33.6800072609219,-13.279892363965235,0.7104751716677532,1.0
62569ae3,3588,27.363939003699276,21.260984155217233,21.200322040018413,68.83348429703865,10.854081581011833,41.46954529333938,-16.509857422687443,0.7055516992079609,1.0
6d6d93af,3595,27.354965533241458,22.769151386245916,22.76561485647884,42.87656575736041,33.136032252627,15.521600224118952,5.781066719385539,0.8760766447703988,0.5
2e63d9de,4699,27.300489412110377,21.960150405340663,17.757925100968457,64.2021066876272,15.915529726758239,36.90161727551681,-11.384959685352138,0.7425484980800376,1.0
37d36812,4367,27.288782198463956,24.79458519924512,-24.75906996886615,146.40518253414118,23.76366668403234,119.11640033567721,-3.525115514431615,0.9699451520770359,1.0
06df5958,3509,27.26897711068849,23.523083577621467,23.492622035640117,81.75641762508923,5.285352827842329,54.48744051440074,-21.983624282846158,0.7066151646909199,1.0
9896fc0b,3595,27.254817085013478,19.495024566387098,19.23065477253882,54.67573204006367,18.800901797872683,27.420914955050193,-8.453915287140795,0.7486879106235036,1.0
3b21ea64,7376,27.233333402888427,23.60706058400468,23.560997369176775,122.9438849781791,6.945556470534458,95.71055157529068,-20.287776932353967,0.7784263235398633,1.0
f49fdea3,5391,27.03319753382869,24.71230459778445,-24.687249815056816,73.82391654504185,14.495550745294349,46.79071901121316,-12.537646788534342,0.7861677010355494,1.0
3417285d,5449,26.725408721630576,24.76407589148512,-24.76407589148512,16.58540634298825,35.02320538496718,-10.140002378642325,8.297796663336602,0.6931825594214936,0.0
d2f3b1ab,5581,26.696933258733637,19.481372553254804,11.395549978046784,94.21644142295862,17.230732568184308,67.51950816422499,-9.466200690549329,0.787323348700614,1.0
ecdab904,6147,26.682316546818765,25.293309029540797,-25.278783930235697,48.951201106570714,18.158203683772435,22.26888455975195,-8.52411286304633,0.7044387437483877,1.0
bf70b410,6347,26.652483241510495,20.395925785314127,20.395925785314127,53.89831522822536,20.058874316228486,27.24583198671486,-6.593608925282009,0.7968026910273385,1.0
eb06a4e7,4535,26.640595441014035,20.59073010334508,18.87150418004036,84.55062535545376,9.75569751818781,57.910029914439725,-16.884897922826227,0.749659569151649,1.0
5cdd8dbc,4010,26.639521841803873,20.619576505966254,-18.455933935841404,85.16666735663752,19.108881570935267,58.52714551483365,-7.530640270868606,0.8805383389483239,1.0
9426ec1e,2532,26.63898434932482,23.41303410995223,23.411425515985773,70.31435570064265,15.203103904699853,43.675371351317835,-11.435880444624965,0.7914200426663309,1.0
d00e7eb9,5704,26.582603736683343,23.87398861599327,23.757077536558576,72.16262999093824,11.031817765429013,45.5800262542549,-15.55078597125433,0.739486980359889,1.0
8995c945,6724,26.526344144965325,22.864921975055783,-22.484170327701545,132.67674991502767,20.888857648873337,106.15040577006235,-5.637486496091988,0.9486578925607474,1.0
1b1c5372,4261,26.143419562505073,20.58508089222034,18.166743117184268,41.08518730696941,20.488525798030043,14.941767744464336,-5.65489376447503,0.7155218390398786,1.0
0390d174,4411,25.891468137861693,22.299976813031265,22.293285984321052,77.6142205657984,9.904757690509305,51.72275242793671,-15.986710447352388,0.7324345402383625,1.0
91db7070,4073,25.862666844720245,21.557282428154526,-21.510243301013745,30.997596411654037,37.27254945917789,5.134929566933792,11.409882614457644,0.8257194949089921,0.5
38991fd4,4798,25.754886133437747,22.861304597700354,22.861304597700354,69.5431394913516,15.331669127958294,43.788253357913845,-10.423217005479453,0.8028726394134461,1.0
9bd2bba3,7439,25.612194937490532,20.85835003201598,18.8656374606648,158.71539663218337,10.905449844801124,133.10320169469284,-14.706745092689408,0.8006332884815816,1.0
87695469,7003,25.507456500205276,21.391579970349184,21.391579970349184,45.044519532405126,6.688136635119534,19.53706303219985,-18.819319865085742,0.4846344585050886,1.0
8ac2f237,5319,25.38843202710217,19.664084079176238,19.563496550043475,46.22563801971657,17.08907189336348,20.8372059926144,-8.299360133738688,0.7101367477546334,1.0
f6d009f4,6715,25.365240463720667,22.282737311293836,-11.445463324993728,1434.249356903361,25.365240463720667,1408.8841164396404,0.0,1.0,1.0
03a935ae,2786,25.278231944058387,22.411538704164894,22.411538704164894,5.875162602272094,34.41199803501598,-19.403069341786292,9.133766090957597,0.7056380379480727,0.0
20402d71,6372,25.2100525389614,23.671827415134945,23.671827415134945,82.96205204387131,13.116153718216006,57.75199950490991,-12.093898820745393,0.813716866319735,1.0
55efee7f,4801,25.10740454381495,21.418752024571596,17.065069400775947,25.83515609352923,24.96485040200042,0.7277515497142772,-0.1425541418145322,0.8300157812705412,1.0
c84c65be,8496,24.934312066642576,22.325778852742996,-22.165266337467934,52.96503925874522,9.794976038380728,28.030727192102646,-15.139336028261848,0.6176402549454153,1.0
6d590e26,6096,24.906823829850314,22.386571831915546,19.466922150045537,108.61682545957105,9.25525039301404,83.71000162972074,-15.651573436836275,0.8234146908087971,1.0
89f1085d,5994,24.79295368591769,23.00895179859064,23.00895179859064,48.53369690889818,29.350743698417645,23.740743222980488,4.557790012499954,0.9170971945719815,0.75
4f69febf,5460,24.781940060505494,22.480979657697368,-22.47420169795918,77.5963962314433,18.398302439956765,52.8144561709378,-6.383637620548729,0.8909663006791584,1.0
e45a2a62,5007,24.65150028732017,21.257755674454206,-18.711864497632916,45.478809853281156,19.063202832525892,20.827309565960984,-5.588297454794279,0.7632492943223294,1.0
d7eb0be8,5401,24.56584845215375,21.308504725042194,-6.69354405557394,76.655168263556,29.610750723154485,52.089319811402255,5.044902271000733,0.7817258453342646,0.75
8bda1a11,5981,24.541733705735602,22.5393337603157,22.382722484828054,136.69383585973569,13.782798106952923,112.15210215400009,-10.75893559878268,0.8812853245043715,1.0
197f8a5a,6310,24.4023854091923,21.417066022851976,-19.902559274426558,24.61555435098563,24.33935021920087,0.2131689417933309,-0.0630351899914281,0.7467523299662656,1.0
9a95e33f,6447,24.344290926587,22.251521580004166,22.038652779618822,16.886386436950428,31.01525108920336,-7.457904489636572,6.67096016261636,0.776692848666705,0.25
fa16d114,5686,24.27465370700719,20.85523817651676,20.070887907503685,20.815118518803075,25.204815326232325,-3.4595351882041143,0.9301616192251352,0.7922280363918408,0.0
